"Monthly Climate Statistics for 'BRISBANE AERO' [040842]"
"Created on [ 13 May 2020 13:41:17 GMT+00:00]"

"040842 BRISBANE AERO"
"Commenced: 1992"
"Last Record: 2020"
"Latitude:   27.39 Degrees South"
"Longitude:  153.13 Degrees East"
"Elevation:       5 m"
"State: QLD"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean rainfall (mm) for years 1994 to 2020 ",126.3,135.3,112.3,71.1,98.4,68.1,27.7,36.7,32.5,75.2,91.4,120.0,1016.1,22,1994,2020
"Highest rainfall (mm) for years 1994 to 2020 ",346.8,472.8,302.8,216.2,577.2,213.2,112.4,138.0,122.0,337.3,227.8,499.4,1728.8,25,1994,2020
"Date of Highest rainfall for years 1994 to 2020 ",2011,2020,2017,2015,1996,1999,1999,1998,1998,2010,2008,2010,1999,N/A,1994,2020
"Lowest rainfall (mm) for years 1994 to 2020 ",3.4,15.2,19.8,3.2,9.4,0.0,0.8,0.0,0.8,4.6,15.4,32.0,598.2,25,1994,2020
"Date of Lowest rainfall for years 1994 to 2020 ",2019,2014,2005,2017,2006,1996,1995,2013,2000,2014,2011,2018,2019,N/A,1994,2020
"Decile 1 monthly rainfall (mm) for years 1994 to 2020 ",27.5,26.0,38.1,13.1,28.4,9.6,2.0,0.5,4.4,13.4,26.7,36.1,642.6,25,1994,2020
"Decile 5 (median) monthly rainfall (mm) for years 1994 to 2020 ",90.4,118.9,102.6,49.2,53.6,49.6,18.2,22.9,25.2,55.0,87.3,99.4,990.6,25,1994,2020
"Decile 9 monthly rainfall (mm) for years 1994 to 2020 ",270.3,266.2,185.5,191.5,193.3,155.9,68.0,104.4,71.1,134.6,168.0,220.9,1266.0,25,1994,2020
"Highest daily rainfall (mm) for years 1994 to 2020 ",174.6,127.0,102.2,127.4,176.0,95.8,38.0,81.6,71.0,106.8,96.6,94.0,176.0,25,1994,2020
"Date of Highest daily rainfall for years 1994 to 2020 ",25 Jan  2012,09 Feb  1999,06 Mar  2004,01 Apr  2015,02 May  1996,30 Jun  2005,25 Jul  1999,11 Aug  2010,11 Sep  1998,11 Oct  2010,26 Nov  2016,24 Dec  1995,02 May  1996,N/A,1994,2020
"Mean number of days of rain for years 1994 to 2020 ",12.1,12.7,13.5,10.7,9.6,9.0,6.8,5.2,6.0,8.7,10.3,11.5,116.1,25,1994,2020
"Mean number of days of rain >= 1 mm for years 1994 to 2020 ",8.4,8.9,9.6,7.4,7.2,5.9,4.0,3.7,4.4,6.2,8.3,9.0,83.0,25,1994,2020
"Mean number of days of rain >= 10 mm for years 1994 to 2020 ",3.2,3.0,3.0,1.8,2.0,2.0,0.8,1.0,1.0,2.5,2.8,3.5,26.6,25,1994,2020
"Mean number of days of rain >= 25 mm for years 1994 to 2020 ",1.4,1.6,1.3,0.6,0.9,0.8,0.2,0.3,0.2,0.8,1.0,1.5,10.6,25,1994,2020
"Mean daily wind run (km) for years 2000 to 2020 ",394,368,342,315,307,313,309,332,376,404,416,406,357,19,2000,2020
"Maximum wind gust speed (km/h) for years 2000 to 2020 ",94,76,72,72,70,76,80,83,87,83,157,121,157,20,2000,2020
"Date of Maximum wind gust speed for years 2000 to 2020 ",27 Jan  2013,11 Feb  2018,05 Mar  2004,26 Apr  2015,20 May  2002,25 Jun  2016,18 Jul  2014,12 Aug  2015,17 Sep  2005,16 Oct  2010,13 Nov  2016,10 Dec  2002,13 Nov  2016,N/A,2000,2020
"Mean daily sunshine (hours) for years 2000 to 2020 ",8.6,8.1,7.5,7.9,7.7,6.6,7.7,8.7,8.9,8.8,9.2,8.6,8.2,19,2000,2020
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2020 ",25.1,22.2,20.0,16.8,13.6,11.8,13.3,16.4,20.2,22.5,24.6,25.1,19.3,30,1990,2020
"Mean number of clear days for years 2000 to 2010 ",4.7,5.5,7.5,10.4,13.6,10.6,16.5,18.6,16.0,13.5,8.6,7.9,133.4,11,2000,2010
"Mean number of cloudy days for years 2000 to 2010 ",11.3,10.7,9.5,7.6,6.4,8.5,6.5,5.0,4.6,7.1,10.3,11.4,98.9,11,2000,2010
"Mean daily evaporation (mm) for years 2000 to 2019 ",7.2,6.8,5.8,4.6,3.5,2.9,3.2,4.1,5.4,6.4,7.0,7.3,5.4,18,2000,2019
"Mean 9am temperature (Degrees C) for years 1994 to 2010 ",26.4,26.2,25.1,22.4,19.0,16.1,15.3,17.0,20.5,22.6,24.1,25.6,21.7,16,1994,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1994 to 2010 ",21.8,21.9,20.8,18.5,15.5,13.2,12.0,12.9,15.7,17.6,19.3,20.8,17.5,16,1994,2010
"Mean 9am dew point temperature (Degrees C) for years 1994 to 2010 ",19.2,19.5,18.3,15.7,12.6,10.3,8.4,8.7,11.4,13.6,15.9,17.9,14.3,16,1994,2010
"Mean 9am relative humidity (%) for years 1994 to 2010 ",66,68,67,67,68,70,65,60,59,59,62,64,65,16,1994,2010
"Mean 9am cloud cover (okas) for years 2000 to 2010 ",5.0,5.0,4.5,3.6,3.2,3.6,2.7,2.5,2.9,3.7,4.6,4.5,3.8,11,2000,2010
"Mean 9am wind speed (km/h) for years 1994 to 2010 ",15.5,14.3,14.3,14.5,15.7,15.6,16.3,15.3,15.0,15.5,16.2,16.2,15.4,16,1994,2010
"Mean 3pm temperature (Degrees C) for years 1994 to 2010 ",27.4,27.5,26.4,24.5,22.3,20.0,19.6,20.4,22.5,23.6,24.9,26.5,23.8,16,1994,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1994 to 2010 ",22.3,22.4,21.2,19.2,16.8,14.9,13.9,14.5,16.8,18.3,19.8,21.4,18.5,16,1994,2010
"Mean 3pm dew point temperature (Degrees C) for years 1994 to 2010 ",19.5,19.6,18.0,15.4,12.2,9.9,8.1,8.6,11.7,14.3,16.3,18.3,14.3,16,1994,2010
"Mean 3pm relative humidity (%) for years 1994 to 2010 ",63,63,61,58,56,55,50,50,55,58,61,62,58,16,1994,2010
"Mean 3pm cloud cover (oktas) for years 2000 to 2010 ",4.3,4.5,4.2,4.0,3.5,3.8,3.1,2.9,2.8,3.2,4.0,4.2,3.7,11,2000,2010
"Mean 3pm wind speed (km/h) for years 1994 to 2010 ",23.3,21.2,20.8,18.8,16.7,16.5,17.8,20.4,24.0,25.3,24.8,24.7,21.2,16,1994,2010
